Title,Year,imdbID,tmdbID
Once Upon a Time in the West,1968,tt0064116,335
The Age of Adaline,2015,tt1655441,293863
Underworld: Blood Wars,2016,tt3717252,346672
Underworld: Awakening,2012,tt1496025,52520
Underworld: Rise of the Lycans,2009,tt0834001,12437
Underworld: Evolution,2006,tt0401855,834
Underworld,2003,tt0320691,277
The Hunger Games,2012,tt1392170,70160
Manchester by the Sea,2016,tt4034228,334541
Agni,2024,tt27930683,1238167
Juror #2,2024,tt27403986,1106739
Lucky Baskhar,2024,tt27540542,1239511
Lockout,2012,tt1592525,81796
Carry-On,2024,tt21382296,1005331
Venom: The Last Dance,2024,tt16366836,912649
Eternals,2021,tt9032400,524434
El Camino: A Breaking Bad Movie,2019,tt9243946,559969
The Menu,2022,tt9764362,593643
Dredd,2012,tt1343727,49049
Alien,1979,tt0078748,348
Elite Squad: The Enemy Within,2010,tt1555149,47931
The Hunger Games: Catching Fire,2013,tt1951264,101299
Mandy,2018,tt6998518,460885
A Quiet Place Part II,2021,tt8332922,520763
Heat,1995,tt0113277,949
Snowpiercer,2013,tt1706620,110415
Gladiator II,2024,tt9218128,558449
All the Bright Places,2020,tt3907584,342470
The Grey,2012,tt1601913,75174
A Quiet Place,2018,tt6644200,447332
Limitless,2011,tt1219289,51876
The Northman,2022,tt11138512,639933
Alita: Battle Angel,2019,tt0437086,399579
The Prestige,2006,tt0482571,1124
Insomnia,2002,tt0278504,320
Colombiana,2011,tt1657507,62835
Miami Vice,2006,tt0430357,82
Eraser,1996,tt0116213,9268
Toofan,2024,tt30415138,1216385
The Girl with the Dragon Tattoo,2009,tt1132620,15472
The Wild Robot,2024,tt29623480,1184918
Assassin's Creed,2016,tt2094766,121856
Taxi Driver,1976,tt0075314,103
Pather Panchali,1955,tt0048473,5801
The Grandmaster,2013,tt1462900,44865
Ichi the Killer,2001,tt0296042,9696
Lost Bullet,2020,tt10456740,706503
Joker: Folie à Deux,2024,tt11315808,889737
Gladiator,2000,tt0172495,98
The Substance,2024,tt17526714,933260
Triple Frontier,2019,tt1488606,399361
World War Z,2013,tt0816711,72190
Dark Phoenix,2019,tt6565702,320288
X-Men: Apocalypse,2016,tt3385516,246655
X-Men: Days of Future Past,2014,tt1877832,127585
X-Men: First Class,2011,tt1270798,49538
X-Men: The Last Stand,2006,tt0376994,36668
X2,2003,tt0290334,36658
X-Men,2000,tt0120903,36657
Live Free or Die Hard,2007,tt0337978,1571
Die Hard: With a Vengeance,1995,tt0112864,1572
Die Hard 2,1990,tt0099423,1573
Die Hard,1988,tt0095016,562
Shutter Island,2010,tt1130884,11324
Pirates of the Caribbean: Dead Men Tell No Tales,2017,tt1790809,166426
Pirates of the Caribbean: On Stranger Tides,2011,tt1298650,1865
L.A. Confidential,1997,tt0119488,2118
Pirates of the Caribbean: At World's End,2007,tt0449088,285
Pirates of the Caribbean: Dead Man's Chest,2006,tt0383574,58
Pirates of the Caribbean: The Curse of the Black Pearl,2003,tt0325980,22
The Transporter Refueled,2015,tt2938956,287948
Transporter 3,2008,tt1129442,13387
Transporter 2,2005,tt0388482,9335
Deadpool & Wolverine,2024,tt6263850,533535
The Transporter,2002,tt0293662,4108
Captain Phillips,2013,tt1535109,109424
Star Trek Beyond,2016,tt2660888,188927
Star Trek Into Darkness,2013,tt1408101,54138
Star Trek,2009,tt0796366,13475
Transformers: The Last Knight,2017,tt3371366,335988
Transformers: Age of Extinction,2014,tt2109248,91314
Terminator: Dark Fate,2019,tt6450804,290859
The Social Network,2010,tt1285016,37799
Terminator Genisys,2015,tt1340138,87101
Terminator Salvation,2009,tt0438488,534
Nightcrawler,2014,tt2872718,242582
Maleficent: Mistress of Evil,2019,tt4777008,420809
Maleficent,2014,tt1587310,102651
Public Enemies,2009,tt1152836,11322
The Wedding Guest,2019,tt7645780,500899
Kingsman: The Secret Service,2015,tt2802144,207703
Terminator 3: Rise of the Machines,2003,tt0181852,296
Terminator 2: Judgment Day,1991,tt0103064,280
The Terminator,1984,tt0088247,218
Transformers: Dark of the Moon,2011,tt1399103,38356
The Man from Nowhere,2010,tt1527788,51608
Transformers: Revenge of the Fallen,2009,tt1055369,8373
Transformers,2007,tt0418279,1858
Killer Elite,2011,tt1448755,49021
Reptile,2023,tt13274016,866463
No Mercy,2010,tt1662557,50475
The Guilty,2021,tt9421570,567748
Nocturnal Animals,2016,tt4550098,340666
Survivor,2015,tt3247714,334074
The Vault,2021,tt9742794,630004
The Assistant,2022,tt16997558,962910
Inside Man,2006,tt0454848,388
Upgrade,2018,tt6499752,500664
Wonder Woman 1984,2020,tt7126948,464052
Free Guy,2021,tt6264654,550988
Justice League,2017,tt0974015,141052
Guardians of the Galaxy Volume 3,2023,tt6791350,447365
Guardians of the Galaxy Vol. 2,2017,tt3896198,283995
The Godfather: Part III,1990,tt0099674,242
Harry Potter and the Deathly Hallows: Part 2,2011,tt1201607,12445
Harry Potter and the Half-Blood Prince,2009,tt0417741,767
Harry Potter and the Chamber of Secrets,2002,tt0295297,672
Avengers: Age of Ultron,2015,tt2395427,99861
The Marvels,2023,tt10676048,609681
Thor: Love and Thunder,2022,tt10648342,616037
Spider-Man: Far From Home,2019,tt6320628,429617
Black Panther,2018,tt1825683,284054
The Incredible Hulk,2008,tt0800080,1724
Hulk,2003,tt0286716,1927
Captain America: The Winter Soldier,2014,tt1843866,100402
Iron Man 2,2010,tt1228705,10138
Captain Marvel,2019,tt4154664,299537
The Godfather: Part II,1974,tt0071562,240
Captain America: The First Avenger,2011,tt0458339,1771
The Godfather,1972,tt0068646,238
Gone Girl,2014,tt2267998,210577
Looper,2012,tt1276104,59967
Salt,2010,tt0944835,27576
Road to Perdition,2002,tt0257044,4147
Pandorum,2009,tt1188729,19898
Boy Kills World,2024,tt13923084,882059
The Protégé,2021,tt6079772,645788
My Name Is Vendetta,2022,tt15229674,873126
Ghost in the Shell,2017,tt1219827,315837
Hitman,2007,tt0465494,1620
Angel Has Fallen,2019,tt6189022,423204
London Has Fallen,2016,tt3300542,267860
The Foreigner,2017,tt1615160,379149
Olympus Has Fallen,2013,tt2302755,117263
Headhunters,2011,tt1614989,70670
I.T.,2016,tt2679552,340677
The Assignment,2016,tt5034474,399173
Triple 9,2016,tt1712261,146198
Security,2017,tt3501112,460846
The Hunter,2011,tt1703148,70954
Yes Man,2008,tt1068680,10201
Hanna,2011,tt0993842,50456
Chhichhore,2019,tt9052870,596650
3 Idiots,2009,tt1187043,20453
Bhoothnath,2008,tt0991346,15974
Zero,2018,tt6527426,496076
Chennai Express,2013,tt2112124,205022
Jawan,2023,tt15354916,872906
Dabangg 3,2019,tt7059844,496339
Dabangg 2,2012,tt2112131,147405
Bodyguard,2011,tt1729637,73582
Ek Tha Tiger,2012,tt2016894,85985
